# FEAT_ID     Score                   Feature Expression
125           0.278976538189101619    ((std_dev - particle_diameter) * (time / av_BE_H_surf))
126           0.27931087782752112     (sqrt(time) * (av_d_band_center_surf * total_metal_loading))
127           0.279728640348818003    ((ln(1.0*time+7.212409e+00)) * (total_metal_loading / surface_area))
128           0.279852508712043369    (sqrt(time) * (total_metal_loading / av_mu_C_critical_surf))
129           0.280766891143689246    ((std_dev - particle_diameter) * (time / av_bulk_int_dist))
130           0.281424382752278379    ((std_dev - particle_diameter) * (time / av_E_coh))
131           0.281686738847526763    ((std_dev - particle_diameter) * (time / surface_area))
132           0.282186462337633281    ((particle_diameter * time) * (total_metal_loading / surface_area))
133           0.282618079081785489    (sqrt(time) * (total_metal_loading / surface_area))
134           0.28322952368440546     ((av_PE * total_metal_loading) * cbrt(time))
135           0.283798287292030771    ((std_dev - particle_diameter) * (time / av_IP))
136           0.28444539481614145     (sqrt(time) * (total_metal_loading / av_BE_H_surf))
137           0.28497430187807582     ((total_metal_loading / av_BE_H_subsurf) * cbrt(time))
138           0.285057329571095919    ((std_dev - particle_diameter) * (time / av_PE))
139           0.286556664654613436    (cbrt(time) * (total_metal_loading / av_E_b_C_subsurf))
140           0.287963672563878614    (cbrt(time) * (total_metal_loading / av_BE_H_surf))
141           0.289260981792860805    (cbrt(time) * (total_metal_loading / av_mu_C_critical_subsurf))
142           0.290274314761467589    ((particle_diameter^2) * (time / std_dev))
143           0.290420473643807964    ((total_metal_loading / av_BE_H_subsurf) * sqrt(time))
144           0.291256001470119041    (sqrt(time) * (total_metal_loading / av_E_b_C_subsurf))
145           0.291757619145239122    (cbrt(time) * (total_metal_loading / surface_area))
146           0.293011599735833572    (sqrt(time) * (total_metal_loading / av_mu_C_critical_subsurf))
147           0.293124639138117871    ((ln(1.0*time+7.212409e+00)) * (av_PE * total_metal_loading))
148           0.29606903167035703     ((total_metal_loading^3) * (av_EA * time))
149           0.299961209458372235    ((std_dev - particle_diameter) * (total_metal_loading * time))
#-----------------------------------------------------------------------
150           0.22999565658070667     ((av_BE_H_subsurf / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
151           0.229997300084476775    ((av_delta_M1_M2_subsurf - total_metal_loading) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
152           0.230023031495748875    ((av_E_b_C_subsurf / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
153           0.230437735250340364    ((av_E_def_subsurf / av_IP) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
154           0.231063814906828507    ((av_E_def_subsurf / av_mu_C_critical_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
155           0.231335038393105513    ((av_delta_M1_M2_subsurf^3) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00)))
156           0.231609554231542669    ((av_IP / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
157           0.231626864674002203    ((av_E_def_subsurf / particle_diameter) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00)))
158           0.231878515936208535    ((av_E_def_subsurf / av_BE_H_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
159           0.231964390999399112    ((av_EA / av_d_band_center_surf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
160           0.232149483190885353    ((av_PE / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
161           0.232597973032060756    ((av_mu_C_critical_surf / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
162           0.232664826042337097    ((av_E_def_subsurf / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
163           0.232729551932195938    ((av_E_def_subsurf / av_BE_H_surf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
164           0.233001824473911406    ((av_delta_M1_M2_subsurf / total_metal_loading) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
165           0.233141748490251211    ((av_E_def_subsurf^2) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00)))
166           0.233760105556182318    ((av_E_coh / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
167           0.234237181598324878    (av_E_def_subsurf / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
168           0.234538585359364865    ((exp(3.681757e+00*av_d_band_center_surf)) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00)))
